Date,CNP,F,WMT,GE,TSLA
2014-09-10,21.248718,13.684773000000002,70.124832,23.114241,281.100006
2014-09-11,21.369595,13.709462,69.749054,23.176584,280.309998
2014-09-12,20.937891,13.65186,69.446617,23.042982,279.200012
2014-09-15,20.955158,13.553111,69.48326899999999,23.087515,253.860001
2014-09-16,21.093304,13.594254,69.950691,23.345821,260.73999
2014-09-17,21.032866,13.602484,69.87737299999999,23.399267,261.380005
2014-09-18,20.911982,13.643629999999998,69.859055,23.542984,263.820007
2014-09-19,20.773838,13.701234,70.427299,23.614845000000006,259.320007
2014-09-22,20.592524,13.462594,69.941536,23.42621,250.02999900000003
2014-09-23,20.601156,13.306242,69.290787,23.37232,250.410004
2014-09-24,20.609789000000006,13.503735999999998,70.647285,23.291475,252.139999
2014-09-25,20.670231,13.330929,69.767387,22.950144,246.949997
2014-09-26,21.058769,13.437906,70.106522,23.022005,246.600006
2014-09-29,21.119204,12.433971,69.730736,22.833374,245.25999500000003
2014-09-30,21.127838,12.170645,70.088173,23.013023,242.679993
2014-10-01,21.18828,12.006064,69.767387,22.599827,240.240005
2014-10-02,21.179642,11.981378,69.86823299999999,22.563902,251.419998
2014-10-03,21.352331,12.006064,70.867249,22.815409,255.210007
2014-10-06,21.257353,11.948464,70.894737,22.653723,260.619995
2014-10-07,21.136477,11.602846,70.848915,22.285442,259.570007
2014-10-08,21.369595,11.693364,71.710472,22.680668,259.27999900000003
2014-10-09,20.886082,11.388893,71.362175,22.258495,257.01001
2014-10-10,20.791105,11.347747,71.756294,21.800392,236.910004
2014-10-13,19.996761,11.142023,71.087212,21.512953,224.589996
2014-10-14,19.694563,11.339518,71.47216800000002,21.64769,227.059998
2014-10-15,19.116074,11.207855,68.924171,21.809376,229.699997
2014-10-16,19.470078,11.504098,67.659348,21.782427,226.350006
2014-10-17,20.005396,11.537012,67.91598499999999,22.294428,227.479996
2014-10-20,20.324862,11.660448,68.869186,22.483057,230.470001
2014-10-21,20.609789000000006,11.734509,69.675735,22.860319,235.339996
2014-10-22,20.307598,11.627534,69.684883,22.626774,231.100006
2014-10-23,20.566616,11.849713,69.886528,22.851336,235.289993
2014-10-24,20.722033,11.339518,70.00569899999999,23.030985,235.240005
2014-10-27,20.730669,11.372434,70.198151,22.923193,221.669998
2014-10-28,20.972425,11.65222,69.978188,23.246567,242.770004
2014-10-29,20.894716,11.548442,70.014862,23.04895,238.100006
2014-10-30,21.076036,11.581651,70.069847,23.057934,238.660004
2014-10-31,21.196915,11.697882,69.90486899999999,23.183685,241.699997
2014-11-03,21.481842,11.614859,69.91403199999999,23.084887,242.589996
2014-11-04,21.27462,11.581651,70.812256,23.084887,238.929993
2014-11-05,21.697697,11.573349,71.215523,23.192671,230.970001
2014-11-06,21.533644,11.780902,71.316338,23.677725,241.220001
2014-11-07,21.784037,11.764299,72.196236,23.722633,240.199997
2014-11-10,21.913551,11.623161,72.81031800000002,23.776527,241.929993
2014-11-11,21.844477,11.930344,72.416214,23.695686,251.080002
2014-11-12,21.415638,12.104691,72.59033199999998,23.821444,249.100006
2014-11-13,21.084425,12.39527,76.01821899999999,23.731617,251.699997
2014-11-14,20.953684,12.569619,76.036552,23.767546,258.679993
2014-11-17,21.250032,12.901709,76.59565,23.902283,253.979996
2014-11-18,21.433075,12.8685,76.797287,24.261581,257.700012
2014-11-19,21.250032,12.818686,77.897148,24.18074,247.740005
2014-11-20,21.206455,12.835291,77.52136999999998,24.117865,248.710007
2014-11-21,21.215168,12.810385,77.58551800000002,24.243614,242.77999900000003
2014-11-24,21.223885,13.009637,78.272926,24.2526,246.720001
2014-11-25,21.189022,13.01794,77.86048100000002,24.126842,248.089996
2014-11-26,21.154158,12.959826,77.887978,24.135826,248.440002
2014-11-28,20.866522,13.059452,80.234329,23.794495,244.520004
2014-12-01,20.483013,13.092662,79.024498,23.37232,231.639999
2014-12-02,20.718348,13.20059,79.189484,23.399265,231.429993
2014-12-03,20.997269,13.291916,78.28625500000003,23.695686,229.300003
2014-12-04,20.849091,13.125871,78.120338,23.435198,228.27999900000003
2014-12-05,20.526588,13.034545,77.530487,23.363335,223.710007
2014-12-08,20.308685,12.810385,77.631874,23.075899,214.360001
2014-12-09,20.439432,12.810385,77.014351,22.977091,216.889999
2014-12-10,19.742132,12.586224,76.47976700000002,22.698633,209.839996
2014-12-11,19.681124,12.685851,77.263191,22.82439,208.880005
2014-12-12,19.175583,12.445086,77.24475100000002,22.357302,207.0
2014-12-15,18.774639,11.855624,77.364586,22.087828,204.039993
2014-12-16,18.922813,11.697882,76.461342,21.998003,197.809998
2014-12-17,19.602674,11.996762,77.631874,22.150707,205.820007
2014-12-18,20.047203,12.295645,79.207909,22.794462,218.25999500000003
2014-12-19,20.134367,12.478295,78.489014,23.229685,219.289993
2014-12-22,20.282541,12.636039,79.613457,23.311281,222.600006
2014-12-23,20.439432,12.727362,79.87151300000002,23.465422,220.970001
2014-12-24,20.709631,12.702455,79.659515,23.420088,222.25999500000003
